username,reported_following,reported_followers,processed_following,processed_followers
ConnorAbene,0,0,0,0
sameeurehman,1605,182,1605,0
dujiaozhu,423,141,423,3
alexjc,3886,25750,3886,122
OrangeBridgeInc,0,0,0,0
deng_cai,171,355,171,22
qi2peng2,378,3464,378,158
LidongBing,0,0,0,0
shoaibjameel123,63,204,63,5
filipe_mesquita,256,531,256,3
fluxthiliabt,425,135,425,0
glezdiazh,532,243,532,0
Hassan_bytes,0,0,0,0
fra_grisoni,928,4336,928,55
_1DHazza_Lula,0,0,0,0
sbmisi,386,907,386,24
peter_zukerman,1810,1935,1810,29
mihirss2,264,21,264,0
GiantAsk,0,0,0,0
morinap,1671,1617,1671,2
BertuzLuca,0,0,0,0
rcstat,1275,246,1275,7
RahurkarS,0,0,0,0
frimelle,1739,1466,1739,46
mcnaclh2o,1646,1391,1646,2
cxi,18961,19898,18961,15
RonValjrMS,0,0,0,0
MLHealthScience,0,0,0,0
avhaustech,52,13,52,0
ash0ts,269,154,269,12
aadi_joshi,1280,1416,1280,32
RomaDorin,0,0,0,0
smsultan30,4594,258,4594,6
CGA1123,0,0,0,0
ml_hardware,1395,6868,1395,158
cyrusnewday,3586,3789,3586,31
ScottXavier153,0,0,0,0
NaveenGRao,0,0,0,0
VickyVessecchia,0,0,0,0
NoorFat67940873,0,0,0,0
sannykimchi,2663,2845,2663,26
karim_dida6299,1977,94,1977,0
appraiser_nj,3368,1333,3368,0
pratikramesh7,693,121,693,3
Peter_j_Wang,0,0,0,0
kdurmazx,305,15,305,0
H_Herrmann24,0,0,0,0
100movements,312,1328,312,0
KattTiley,0,0,0,0
GoodieGoodloe,0,0,0,0
ahmadjawaid_,78,690,78,0
ideasbyjin,622,1251,622,24
MKarimzade,0,0,0,0
jeffruffolo,179,2483,178,18
MarkNeumannnn,0,0,0,0
ginaelnesr,426,1153,426,27
stephenrra,543,3129,542,78
TheYousufKhan,0,0,0,0
michaeliscook1,1331,88,1331,0
weblineglobal,854,232,854,4
rahul_13337,54,2,54,0
